id,acronym,full_term,civilian_explanation,branch,category,created_at
,SPOTREP,incident report,incident report,general,Acronym,
,SQ,squadron,squadron,usaf,Acronym,
,SQD,squad,squad,army,Acronym,
,SRA,senior airman,senior airman,usaf,Rank,
,SRB,selective reenlistment bonus,selective reenlistment bonus,general,Acronym,
,SRB,Service Record Book,Personnel file,navy,admin,
,SRO,Senior Reactor Operator,"Oversaw reactor operations and compliance activities to ensure safe, efficient plant performance.",Navy,maintenance,
,SRTS,Sailor Readiness Tracking System,Navy individual readiness database,navy,Medical,
,SSA,Supply Support Activity,Supply distribution point,army,Logistics,
,SSC,Space Systems Command,Space Systems Command,ussf,Organization,
,SSE,Senior Service Education,executive leadership development program,general,training,
,SSG,staff sergeant,staff sergeant,army,Rank,
,SSGT,staff sergeant,staff sergeant,usaf,Rank,
,SSO,special security officer,special security officer,general,Security,
,STAMIS,Standard Army Management Information System,enterprise management information system,army,logistics,
,STANFINS,Standard Finance System,Army accounting system,army,Financial,
,STARCOM,Space Training and Readiness Command,Space Training and Readiness Command,ussf,Organization,
,STIG,Security Technical Implementation Guide,Security configuration standard,general,technical,
,STRATCOM,Strategic Command,Strategic Command,general,Organization,
,STX,situational training exercise,situational training exercise,army,Training,
,SUBLANT,submarine forces Atlantic,submarine forces Atlantic,navy,Acronym,
,SUBPAC,submarine forces Pacific,submarine forces Pacific,navy,Acronym,
,SUPPO,supply officer,supply officer,navy,Acronym,
,SURFLANT,Commander Naval Surface Forces Atlantic,Atlantic surface fleet commander,navy,organization,
,SURFPAC,surface forces Pacific,surface forces Pacific,navy,Acronym,
,SWPPP,Stormwater Pollution Prevention Plan,Environmental runoff management plan,general,Engineering,
,TACLET,Tactical Law Enforcement Team,Supported specialized maritime security operations in joint/multi-agency environments.,Coast Guard,operations,
,TACLET,tactical law enforcement team,tactical law enforcement team,uscg,Acronym,
,TACON,Tactical Control,Temporary operational authority,general,operations,
,TAD,temporary assignment,temporary assignment,general,Acronym,
,TAD,Temporary Additional Duty,Temporary assignment to another location,navy,admin,
,TADSS,training aids and devices,training aids and devices,army,Training,
,TAI,Target Area of Interest,Specific location for collection focus,general,Intelligence,
,TAP,transition assistance program,transition assistance program,general,Acronym,
,TAPS,transition assistance program,transition assistance program,general,Acronym,
,TAREX,Target Exploitation,Target analysis and development,general,Intelligence,
,TBS,The Basic School,The Basic School,usmc,Acronym,
,TCCC,Tactical Combat Casualty Care,field emergency trauma care,general,medical,
,TCN,Transportation Control Number,Shipment tracking number,general,Logistics,
,TCP,traffic control point,traffic control point,army,Acronym,
,TDA,organizational structure document,organizational structure document,army,Acronym,
,TDY,temporary duty assignment,temporary duty assignment,general,Acronym,
,TDY,Temporary Duty,Temporary assignment to another location,usaf,admin,
,TECHEX,Technical Exploitation,Technical equipment forensic analysis,general,Intelligence,
,TECOM,Training and Education Command,Training and Education Command,usmc,Organization,
,TEMADD,Temporary Additional Duty,Short-term training assignment,navy,Training,
,TI,technical inspection,technical inspection,army,Acronym,
,TIC,Troops in Contact,active engagement / critical incident,general,operations,
,TIG,time in grade,time in grade,usaf,Acronym,
,TIS,time in service,time in service,usaf,Acronym,
,TL,team leader,team leader,army,Acronym,
,TLP,Troop Leading Procedures,team planning and execution steps,army,operations,
,TM,team,team,army,Acronym,
,TOC,tactical operations center,tactical operations center,general,Acronym,
,TOPMIS,Total Officer Personnel Management Information System,Army officer management system,army,Admin,
,TPFDD,Time-Phased Force and Deployment Data,deployment scheduling and resource plan,general,operations,
,TPT,Tactical PSYOP Team,Small psychological operations unit,general,Intelligence,
,TQL,total quality leadership,total quality leadership,navy,Acronym,
,TRACEN,training center,training center,uscg,Training,
,TRADOC,Training and Doctrine Command,Training and Doctrine Command,army,Organization,
,TRANSCOM,Transportation Command,Transportation Command,general,Organization,
,TRICARE,military health insurance,military health insurance,general,Acronym,
,TSC,Theater Sustainment Command,Army regional logistics headquarters,army,Logistics,
,TSCM,Technical Surveillance Countermeasures,Electronic bug sweep and detection,general,Intelligence,
,TSGT,technical sergeant,technical sergeant,usaf,Rank,
,TSP,Thrift Savings Plan,Government 401(k) retirement plan,general,admin,
,TSTA,Tailored Ships Training Availability,Integrated training assessment,navy,compliance,
,TWMS,Total Workforce Management Services,Navy training tracking system,navy,Admin,
,TYCOM,Type Commander,Fleet type headquarters,navy,organization,
,UCI,Unit Compliance Inspection,Air Force compliance audit,usaf,compliance,
,UCMJ,Uniform Code of Military Justice,Military legal code,general,admin,
,UDM,unit deployment manager,unit deployment manager,usaf,Acronym,
,UFR,Unfunded Requirements,supplemental budget requests,general,financial,
,UGT,upgrade training,upgrade training,usaf,Training,
,ULLS,Unit Level Logistics System,unit-level inventory tracking system,army,logistics,
,ULTRA-C,Unit Level Training Readiness Assessment-Command,Command-level readiness assessment,navy,compliance,
,UMR,unit manning report,unit manning report,army,Acronym,
,underway,at sea operations,at sea operations,general,Acronym,
,UNREP,Underway Replenishment,At-sea supply transfer operation,navy,operations,
,USACE,Army Corps of Engineers,Army Corps of Engineers,army,Acronym,
,USAF,United States Air Force,United States Air Force,usaf,Acronym,
,USAFE,US Air Forces in Europe,US Air Forces in Europe,usaf,Acronym,
,USAREC,Army Recruiting Command,Army Recruiting Command,army,Organization,
,USCG,United States Coast Guard,United States Coast Guard,uscg,Acronym,
,USMA,United States Military Academy,West Point,army,Training,
,usmc,personnel,personnel,general,Acronym,
,USMC,United States Marine Corps,United States Marine Corps,usmc,Acronym,
,USO,United Service Organizations,United Service Organizations,general,Acronym,
,USR,unit status report,unit status report,army,Acronym,
,USSF,United States Space Force,United States Space Force,ussf,Acronym,
,USTRANSCOM,U.S. Transportation Command,Joint military transportation headquarters,general,Logistics,
,UTC,unit type code,unit type code,usaf,Acronym,
,UTM,unit training manager,unit training manager,usaf,Training,
,UXO,unexploded ordnance,unexploded ordnance,general,Acronym,
,VA,Veterans Affairs,Veterans Affairs,general,Acronym,
,VAW,Carrier Airborne Early Warning Squadron,Navy E-2 Hawkeye squadron,navy,Aviation,
,VDP,Vulnerability Disclosure Program,Bug bounty and reporting program,general,Cyber,
,VERTREP,Vertical Replenishment,Helicopter supply transfer,navy,operations,
,VFA,Strike Fighter Squadron,Navy F/A-18 squadron,navy,Aviation,
,VMFA,Marine Fighter Attack Squadron,Marine Fighter Attack Squadron,usmc,Acronym,
,VMM,Marine Medium Tiltrotor Squadron,Marine Medium Tiltrotor Squadron,usmc,Acronym,
,vMPF,virtual personnel center,virtual personnel center,general,Acronym,
,vMPF,Virtual Military Personnel Flight,Air Force online HR portal,usaf,Admin,
,VP,Patrol Squadron,Navy maritime patrol aircraft squadron,navy,Aviation,
,VQ,Fleet Air Reconnaissance Squadron,Navy signals collection squadron,navy,Aviation,
,WAPS,weighted airman promotion system,weighted airman promotion system,usaf,System,
,WARNO,Warning Order,Advance notification of upcoming operations,general,communication,
,watch,shift duty,shift duty,general,Acronym,
,WCS,Maintenance Team Lead,Maintenance Team Lead,navy,Acronym,
,WEPS,weapons officer,weapons officer,navy,Acronym,
,WGS,Wideband Global SATCOM,High-bandwidth military satellite network,general,Space,
,WHEC,high endurance cutter,high endurance cutter,uscg,Acronym,
,WIA,wounded in action,wounded in action,general,Acronym,
,WLB,buoy tender,buoy tender,uscg,Acronym,
,WLC,Warrior Leader Course,junior leadership development course,army,training,
,WMEC,medium endurance cutter,medium endurance cutter,uscg,Acronym,
,WOAC,Warrant Officer Advanced Course,Senior warrant officer training,army,Training,
,WOBC,Warrant Officer Basic Course,Initial warrant officer training,army,Training,
,WPB,patrol boat,patrol boat,uscg,Acronym,
,XO,Executive Officer,"Deputy operations manager coordinating planning, resources, and execution.",Army,leadership,
,XO,deputy director,deputy director,navy,Rank,
,YN,yeoman,yeoman,navy,Rating,
