id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at,job_family
,CDI,command directed investigation / internal investigation,legal,Legal,,,,legal
,FEP,final readiness evaluation,navy,technical,,,,operations
,TIS,Time in Service / tenure,general,Acronym,,,,operations
,analyst,intelligence analyst / research analyst,intelligence,Intelligence,,,,intelligence
,aid station,field medical clinic / first-response medical facility,medical,Medical,,,,medical
,obligation,committed funds / encumbered budget,financial,Financial,,,,finance
,command investigation,organizational inquiry / management-directed review,legal,Legal,,,,legal
,economic order quantity,optimal purchase quantity,logistics,Logistics,,,,logistics
,supply chain,supply chain,general,logistics,,,,logistics
,company commander,operations director,army,leadership,,,,leadership
,red deck,operations suspended due to weather/safety,aviation,Aviation,,,,operations
,sole source,single-vendor procurement / non-competitive award,logistics,Acquisition,,,,operations
,cost plus,cost-reimbursement contract / variable-cost agreement,logistics,Acquisition,,,,operations
,SRM,"sustainment, restoration, and modernization / facility maintenance and upgrade",engineering,Engineering,,,,operations
,green team,support team / training team,general,Term,,,,operations
,GEOINT,geospatial intelligence / geographic data analysis,intelligence,Intelligence,,,,intelligence
,OPTAR,operating budget,navy,logistics,Managed $2.5M OPTAR,Managed $2.5M annual operating budget,,logistics
,utilities,"building systems (power, water, HVAC)",engineering,Engineering,,,,operations
,flight surgeon,aviation medical examiner / aerospace physician,medical,Medical,,,,medical
,boundary defense,network perimeter protection,cyber,Cyber,,,,cyber
,JWICS,top secret network / highest classification network,cyber,Cyber,,,,cyber
,service order,facility support request,engineering,Engineering,,,,operations
,brig,military prison / detention facility,legal,Legal,,,,legal
,immunization,vaccination / preventive medicine,medical,Medical,,,,medical
,midships,center section,navy,general,,,,operations
,NAV,navigator / operations planner,navy,leadership,,,,leadership
,pocket litter,supporting documentation for cover identity,intelligence,Intelligence,,,,intelligence
,direct action,targeted operation / precision strike mission,general,Special Operations,,,,operations
,wing,"organization of 1,000-5,000 employees",general,Unit Type,,,,operations
,chopped to,transferred authority to,navy,operations,,,,operations
,handler,source manager / relationship coordinator,intelligence,Intelligence,,,,intelligence
,DODIN,Department of Defense information network / enterprise network,cyber,Cyber,,,,cyber
,EAWS,aviation qualification program,navy,training,,,,leadership
,network defense,cybersecurity operations / network protection,cyber,Cyber,,,,cyber
,ROI,return on investment,general,financial,,,,finance
,garnishment,court-ordered payroll deduction,financial,Financial,,,,finance
,PKI,public key infrastructure / digital certificate management,cyber,Cyber,,,,cyber
,MCA,"military construction, Army / capital construction project",engineering,Engineering,,,,operations
,evolution,operation,navy,operations,Led 15 evolutions,Led 15 operational procedures,,operations
,watch station,duty station,navy,operations,,,,operations
,JISE,joint intelligence support element / integrated analysis team,intelligence,Intelligence,,,,intelligence
,flight hours,operating hours / airtime logged,aviation,Aviation,,,,operations
,mission assurance,continuity of operations / business continuity,cyber,Cyber,,,,cyber
,manning document,staffing table / organizational chart,personnel,Personnel,,,,operations
,tasker,assignment / action item / work request,general,Term,,,,operations
,exploitation,data extraction and analysis,intelligence,Intelligence,,,,intelligence
,fleet surgeon,senior medical officer / chief medical advisor,medical,Medical,,,,medical
,TAD/TDY assignment,temporary assignment / detail,general,admin,,,,admin
,CBR,hazardous material response,navy,technical,,,,operations
,legal hold,litigation preservation / document retention order,legal,Legal,,,,legal
,bridge,operations command center,navy,operations,,,,operations
,counseling chit,counseling documentation / performance feedback form,personnel,Personnel,,,,operations
,triage,patient prioritization / emergency severity assessment,medical,Medical,,,,medical
,backbrief,summary briefing / confirmation briefing,general,Term,,,,operations
,pivot,change direction / shift focus,general,Term,,,,operations
,DLCPO,Division Senior Supervisor,navy,leadership,,,,leadership
,jackpot,successful target capture / mission success,general,Special Operations,,,,operations
,corrosion control,preventive surface treatment / anti-corrosion maintenance,aviation,Aviation,,,,operations
,synch,synchronize / coordinate timing,general,Term,,,,operations
,patient administration,medical records management / healthcare administration,medical,Medical,,,,medical
,field day,deep cleaning / facility maintenance,navy,operations,,,,operations
,administrative separation,involuntary termination / employment separation,legal,Legal,,,,legal
,clandestine,covert / secret,intelligence,Intelligence,,,,intelligence
,battalion,business unit of 300-1000 employees,general,Unit Type,,,,operations
,proposal evaluation,bid assessment / vendor proposal review,logistics,Acquisition,,,,operations
,MTF,military treatment facility / government healthcare facility,medical,Medical,,,,medical
,OPR,officer performance evaluation,usaf,admin,,,,admin
,special reconnaissance,covert observation / clandestine surveillance,general,Special Operations,,,,operations
,stay in your lane,focus on your responsibilities / stay within scope,general,Term,,,,operations
,pretrial,pre-hearing phase / preliminary proceedings,legal,Legal,,,,legal
,BPA,blanket purchase agreement / pre-approved vendor arrangement,logistics,Acquisition,,,,operations
,AOIC,assistant department head,general,leadership,,,,leadership
,stern,rear,navy,general,,,,operations
,preflight,pre-departure inspection / equipment readiness check,aviation,Aviation,,,,operations
,PJ,pararescue jumper / combat search and rescue specialist,general,Special Operations,,,,operations
,USACE,U.S. Army Corps of Engineers / federal engineering agency,engineering,Engineering,,,,operations
,75th Ranger,Army elite light infantry regiment,general,Special Operations,,,,operations
,line shack,maintenance coordination office,aviation,Aviation,,,,operations
,ODA,operational detachment alpha / special forces A-team,general,Special Operations,,,,operations
,motor pool,vehicle fleet maintenance facility,army,technical,,,,operations
,CBRN,hazardous material response,general,technical,,,,operations
,working party,work detail / project team,navy,operations,,,,operations
,asbestos abatement,asbestos removal and containment,safety,Engineering,,,,operations
,cyber range,cybersecurity training environment,cyber,Cyber,,,,cyber
,flight line,aircraft parking and operations area / active work area,aviation,Aviation,,,,operations
,posture,strategic position / readiness stance,general,Term,,,,operations
,unfunded requirement,budget shortfall / unbudgeted need,financial,Financial,,,,finance
,dissemination,information distribution / report distribution,intelligence,Intelligence,,,,intelligence
,NATOPS,naval air training and operating procedures / aircraft operating manual,aviation,Aviation,,,,operations
,vertical construction,building construction,engineering,Engineering,,,,operations
,subordinate,direct report / team member,general,Term,,,,operations
,STIGs,security technical implementation guides / security configuration standards,cyber,Cyber,,,,cyber
,MAF,maintenance action form / work order,aviation,Aviation,,,,operations
,KIA,killed in action,general,Acronym,,,,operations
,phase line,project milestone / progress marker,general,Term,,,,operations
,read-in,security briefing and access authorization,intelligence,Intelligence,,,,intelligence
,hostile fire pay,hazard duty pay / danger zone compensation,financial,Financial,,,,finance
,demolition,controlled structure removal / explosive demolition,engineering,Engineering,,,,operations
,authorized strength,approved headcount / budgeted positions,personnel,Personnel,,,,operations
,LPTA,lowest price technically acceptable / cost-based selection,logistics,Acquisition,,,,operations
,malware analysis,malicious software investigation,cyber,Cyber,,,,cyber
,imminent danger pay,threat area compensation,financial,Financial,,,,finance
,IOC,initial operating capability / minimum viable deployment,cyber,Cyber,,,,cyber
,field sanitation,environmental health / hygiene management,medical,Medical,,,,medical
,DCPO,safety compliance officer,navy,technical,,,,operations
,MPA,main propulsion assistant / propulsion engineer,navy,leadership,,,,leadership
,HAZWOPER,hazardous waste operations and emergency response certification,safety,Engineering,,,,operations
,S-1,HR / Personnel Office,Unit staff section handling personnel actions and administrative processing.,administration,Worked with S-1 to process awards and PCS paperwork.,Partnered with HR to process personnel actions and documentation.,,admin
,S-2,Intelligence Office,Unit staff section responsible for threat analysis and intelligence reporting.,intelligence,Coordinated with S-2 for daily threat briefs.,Coordinated with intelligence staff for daily threat updates and briefings.,,intelligence
,S-3,Operations Office,"Unit staff section responsible for operations planning, scheduling, and execution tracking.",operations,Submitted training plan updates to S-3.,Provided operations team updates to support scheduling and execution tracking.,,operations
,S-4,Logistics Office,"Unit staff section responsible for supply, transportation, and sustainment planning.",logistics,Worked with S-4 to requisition parts.,Coordinated with logistics to requisition parts and track fulfillment.,,logistics
,S-6,IT / Communications Office,"Unit staff section responsible for communications, networks, and user support.",cyber,Coordinated with S-6 to troubleshoot network outages.,Worked with IT to troubleshoot outages and restore service.,,cyber
,BDE S1,Brigade HR Office,Brigade-level HR section handling personnel actions and policy execution.,administration,Sent the packet to BDE S1 for processing.,Submitted the packet to the brigade HR office for processing.,,admin
,BDE S4,Brigade Logistics Office,Brigade-level logistics section coordinating sustainment and supply chain support.,logistics,BDE S4 pushed the distribution plan.,Brigade logistics issued the distribution plan for execution.,,logistics
,COMSEC custodian,Communications Security Custodian,Role responsible for safeguarding encryption/keying material and compliance documentation.,cyber,Served as COMSEC custodian for the battalion.,Managed communications security materials and compliance for the organization.,,cyber
,IAO,Cybersecurity Compliance Lead,"Role responsible for information assurance controls, documentation, and audits.",cyber,Acted as the unit IAO during inspections.,Led cybersecurity compliance documentation and audit readiness for inspections.,,cyber
,G-6,Enterprise IT Directorate,Senior-level communications/IT directorate overseeing enterprise services.,cyber,Coordinated with G-6 for network approvals.,Coordinated with enterprise IT leadership for network approvals and governance.,,cyber
,J-6,Joint IT Directorate,Joint-level communications/IT directorate coordinating interoperability and enterprise services.,cyber,Reported status to J-6 during the exercise.,Provided status updates to joint IT leadership during the exercise.,,cyber
,BDE S2,Brigade-level intelligence office,Used for intelligence reporting/briefing support.,intelligence,Submitted reports to BDE S2,Submitted reports to the brigade intelligence office,,intelligence
,BDE S3,Brigade-level operations office,"Used for training schedules, ops planning, tasking.",operations,Synced training calendar with BDE S3,Aligned training schedule with the operations office,,operations
,BN S6,Battalion communications/IT office,Shorthand for unit IT/comms section.,cyber,Worked with BN S6 to restore SIPR,Partnered with the unit IT team to restore secure network services,,cyber
,S6 shop,Unit IT/communications team,Informal way people refer to the comms/IT section.,cyber,Submitted ticket to the S6 shop,Submitted a service request to the IT support team,,cyber
,G6,Senior-level communications/IT office (division/corps),Staff section responsible for communications and IT at higher headquarters.,cyber,Coordinated outage response with G6,Coordinated outage response with enterprise IT leadership,,cyber
,J6,Joint communications/IT office,Joint staff section responsible for communications and IT.,cyber,Coordinated requirements with J6,Coordinated requirements with joint IT leadership,,cyber
,cutter,operational ship / vessel,Coast Guard term for ships; shows up in bullets.,operations,Supported cutter maintenance availability,Supported vessel maintenance availability,,operations
,boat crew,small boat operations team,Coast Guard small boat ops term.,operations,Qualified as boat crew,Qualified as small boat operations team member,,operations
,boarding team,maritime law enforcement team,Common Coast Guard/ME term.,security,Led boarding team brief,Led law enforcement inspection team brief,,operations
,AtoN,Aids to Navigation,Coast Guard buoy/marker/navigation support mission.,operations,Supported AtoN mission planning,Supported navigation aids mission planning,,operations
,EOW,Engineering shift supervisor,Watchstanding shorthand for supervising technical operations during assigned shifts.,operations,Stood EOW during high-tempo operations.,Supervised shift operations ensuring continuity.,,operations
,EDPO,Maintenance program manager,"Indicates ownership of maintenance planning, tracking, and readiness reporting.",leadership,Managed EDPO for department.,Managed maintenance program planning and readiness reporting.,,leadership
,ER09,Urgent corrective maintenance event,Shorthand for engineering casualty/repair event requiring immediate response.,maintenance,Responded to ER09 casualty.,Led urgent corrective maintenance to restore availability.,,maintenance
,ERUL,Urgent logistics/repair support,Shorthand for expedited parts/repair coordination during casualties.,maintenance,Submitted ERUL for critical part.,Coordinated urgent logistics to restore operations.,,maintenance
,S-6 shop,IT/communications office,Common shorthand for unit communications/IT section.,cyber,Worked in the S-6 shop.,Supported IT/communications operations restoring network services.,,cyber
