id,military_phrase,civilian_phrase,branch,category,context_notes,created_at,job_family
,qualified in rate,demonstrated competency in assigned specialty,navy,Training,,,leadership
,bottom line up front,lead with the key conclusion,general,Communication,,,operations
,billet,authorized position,navy,Admin,,,admin
,correspondence management,business correspondence / official communications management,general,admin,,,admin
,strength management,headcount management / workforce planning,general,admin,,,admin
,honor graduate,top-ranked graduate,general,Performance,,,operations
,TOC operations,tactical operations center management,army,Operations,,,operations
,information operations,strategic communications / information management,general,operations,,,operations
,received Meritorious Unit Commendation,received organizational merit award,general,admin,,,admin
,redeployment,return from operational deployment,general,Operations,,,operations
,battlespace,operational environment / competitive landscape,general,operations,,,operations
,collective training event,team-based training exercise / group workshop,general,training,,,leadership
,head count,personnel accountability check,general,Operations,,,operations
,served as DCTT member,served as safety training team member,navy,training,,,leadership
,cyber incident response,security incident response / breach containment,general,cyber,,,cyber
,hand-picked by the CO,personally selected by the director,general,Leadership,,,leadership
,served as urinalysis coordinator,served as substance abuse testing program coordinator,navy,admin,,,admin
,3M system,planned maintenance management system,navy,Safety,,,operations
,combat multiplier,force multiplier / high-impact contributor,general,performance,,,operations
,CLEP tested,earned college credit through standardized testing,general,Training,,,leadership
,garrison operations,routine facility and personnel management,army,Operations,,,operations
,OPR,officer performance report,usaf,Admin,,,admin
,completed Top Level School,completed executive leadership course,usmc,training,,,leadership
,conducted PFT/CFT,completed organizational physical fitness assessment,usmc,training,,,leadership
,page 13,administrative counseling record,navy,Admin,,,admin
,aircraft availability rate,fleet availability rate / aircraft uptime percentage,general,aviation,,,operations
,PCA,local reassignment,general,Admin,,,admin
,MEB,medical evaluation board review,general,Medical,,,medical
,GAR model,risk assessment tool,uscg,Safety,,,operations
,performed PMS,executed scheduled preventive maintenance,navy,technical,,,operations
,designated instructor,certified trainer,general,Training,,,leadership
,managed a supply account,managed inventory account / procurement account,general,logistics,,,logistics
,medical board,medical fitness for duty review board,general,Medical,,,medical
,NMC,non-mission capable or out of service,general,Equipment,,,operations
,ASI qualified,earned additional skill identifier certification,army,training,,,leadership
,Class V supplies,ammunition and explosives,general,Equipment,,,operations
,network operations,network administration / IT infrastructure management,general,cyber,,,cyber
,mobilized for,activated/deployed for,general,operations,,,operations
,OSHA compliance,workplace safety regulatory compliance,general,Safety,,,operations
,allowance list,authorized inventory of required items,general,Equipment,,,operations
,mentored junior leaders,mentored emerging leaders / coached new supervisors,general,leadership,,,leadership
,selected as Sailor of the Year,selected as employee of the year,navy,performance,,,operations
,flawless execution,error-free implementation,general,Performance,,,operations
,maintenance availability,scheduled maintenance downtime window,general,Equipment,,,operations
,liberty port,scheduled port visit,navy,Operations,,,operations
,point paper,executive summary or issue brief,general,Communication,,,operations
,stood OOD watches,served as senior operations shift supervisor responsible for all organizational activities,navy,operations,,,operations
,completed SNCOA,completed senior leadership development course,usaf,training,,,leadership
,stood watch as OOD,served as senior on-duty manager,navy,Leadership,,,leadership
,signal support,IT support / communications infrastructure support,general,comms,,,operations
,gain and loss report,personnel arrivals and departures report,general,Admin,,,admin
,scored 600 on ACFT,achieved maximum score on physical fitness assessment,army,performance,,,operations
,completed SABC training,completed self-aid/buddy care first responder training,usaf,training,,,leadership
,PT DLCPO,Part-Time Division Senior Supervisor,navy,leadership,,,leadership
,handled classified material,managed sensitive/classified information,general,security,,,operations
,open-source intelligence,open-source data analysis / public information research,general,intel,,,operations
,served as battle NCO,served as operations center shift supervisor,army,operations,,,operations
,deadline,non-operational due to required maintenance,army,Equipment,,,operations
,served as fire team leader,led 4-person tactical team,usmc,leadership,,,leadership
,earned 5-level,achieved journeyman-level technical certification,usaf,training,,,leadership
,managed USR report,managed unit status/readiness report,army,compliance,,,admin
,plan of the day,daily schedule and announcements,navy,Communication,,,operations
,air traffic control,air traffic management / airspace coordination,general,aviation,,,operations
,unit citation,organizational achievement award,general,Performance,,,operations
,stood the watch,maintained continuous operations,navy,Performance,,,operations
,hit the ground running,achieved immediate productivity,general,Leadership,,,leadership
,shift operations,rotating shift coverage / multi-shift operations,general,operations,,,operations
,completed all prerequisite training,completed all required certifications,general,training,,,leadership
,stacked the deck,assembled the strongest team and resources,general,Performance,,,operations
,managed divisional 3M program,managed section-level preventive maintenance program,navy,technical,,,operations
,hot wash,immediate after-action debrief,general,Communication,,,operations
,BCA,body composition assessment,navy,Medical,,,medical
,defensive cyber operations,cybersecurity defense / network security operations,general,cyber,,,cyber
,light off,system startup/initialization,navy,technical,,,operations
,individual training plan,personal development plan / individual learning plan,general,training,,,leadership
,served aboard amphib,served aboard amphibious operations vessel,usmc,operations,,,operations
,firewall five,received the maximum performance evaluation score,navy,Performance,,,operations
,served as 3M coordinator,served as preventive maintenance program manager,navy,technical,,,operations
,served as readiness NCO,served as organizational readiness coordinator,army,operations,,,operations
,PEB,physical evaluation board review,general,Medical,,,medical
,earned Air Assault qualification,completed helicopter assault operations certification,army,training,,,leadership
,served as ESO,served as educational services officer / training coordinator,navy,training,,,leadership
,field operations,remote site operations,army,Operations,,,operations
,distribution management,distribution logistics / shipping and receiving management,general,logistics,,,logistics
,safety council,safety review board,general,Safety,,,operations
,earned the respect of,built credibility with,general,Leadership,,,leadership
,served as DCTT team leader,served as safety training team lead,navy,training,,,leadership
,logistics readiness,supply chain preparedness / operational logistics readiness,general,logistics,,,logistics
,fleet logistics,enterprise-wide supply operations,navy,logistics,,,logistics
,system hardening,security hardening / system configuration management,general,cyber,,,cyber
,clean sweep,passed all inspection areas,general,Performance,,,operations
,kept the lights on,ensured operational continuity,general,Performance,,,operations
,COOP plan,continuity of operations plan,general,Operations,,,operations
,put the mission first,prioritized organizational objectives,general,Leadership,,,leadership
,exceeded standards,surpassed performance benchmarks,general,performance,,,operations
,managed OPTAR,managed annual operating budget,navy,logistics,,,logistics
,first to volunteer,proactively seeks challenging assignments,general,Leadership,,,leadership
,medical logistics,healthcare supply chain / medical equipment management,general,medical,,,medical
,mission planning cycle,project planning process / operational planning cycle,general,operations,,,operations
,mission accomplished,objective achieved,general,Performance,,,operations
,worked in S6,supported the unit IT/communications team by troubleshooting issues and restoring network services,Army,cyber,Common shorthand in bullets,,cyber
,coordinated with BN S6,partnered with the unit IT team to resolve outages and restore service availability,Army,cyber,Battalion S6 coordination,,cyber
,served as COMSEC custodian,"managed communications security controls, safeguarding cryptographic materials and ensuring compliance",All,compliance,Avoid too-classified wording; focus on compliance,,admin
,worked with the IAO,partnered with the cybersecurity compliance lead to document controls and reduce security risk,All,cyber,IAO often means IA/RMF lead,,cyber
,sent to BDE S1,routed personnel actions through the brigade HR office to meet administrative timelines,Army,administration,Personnel processing,,admin
,synced with BDE S3,aligned plans and schedules with the operations office to support on-time execution,Army,operations,Ops planning coordination,,operations
,coordinated with BDE S4,coordinated supply and sustainment requirements with the logistics office to prevent shortages,Army,logistics,Logistics coordination,,logistics
,supported cutter operations,"supported vessel operations through planning, coordination, and readiness tracking",Coast Guard,operations,Coast Guard cutter term,,operations
,qualified as boat crew,earned qualification as a small boat operations team member through training and evaluated performance,Coast Guard,training,Qualification pipeline,,leadership
,led a boarding team,"led maritime inspection operations, ensuring safety, compliance, and effective execution",Coast Guard,security,ME/boarding operations,,operations
,EOOW,"supervised engineering plant operations during high-risk shifts, ensuring safety compliance and operational continuity",Navy,operations,Nuclear/engineering watchstanding shorthand,,operations
,EOW,"supervised technical operations during assigned shifts, accountable for equipment status and team performance",Navy,operations,Engineering watchstanding shorthand,,operations
,PPWO,"led propulsion plant operations, coordinating personnel and equipment to maintain regulatory compliance",Navy,maintenance,Propulsion plant watchstanding,,maintenance
,SRO,oversaw reactor operations and compliance activities to ensure safe and efficient plant performance,Navy,maintenance,Senior reactor operations shorthand,,maintenance
,RO,monitored and controlled reactor systems to maintain safe operating parameters,Navy,maintenance,Reactor operator shorthand,,maintenance
,EDPO,managed divisional maintenance planning and personnel development to improve readiness outcomes,Navy,leadership,Maintenance program management,,leadership
,ER09,led urgent corrective maintenance actions to restore equipment availability and reduce downtime,Navy,maintenance,Engineering casualty shorthand,,maintenance
,ERUL,coordinated rapid response logistics and maintenance actions to mitigate equipment failures and restore mission capability,Navy,maintenance,Urgent logistics shorthand,,maintenance
,DIVO,"supervised 10–25 personnel while managing training, evaluations, and operational execution",Navy,leadership,Division officer shorthand,,leadership
,DH,managed department-level operations and personnel performance across multiple teams,Navy,leadership,Department head shorthand,,leadership
,SAR,coordinated emergency response operations to safeguard personnel and property under time-critical conditions,Coast Guard,operations,Search and rescue shorthand,,operations
,AtoN,managed maritime navigation systems to ensure safe and compliant vessel traffic operations,Coast Guard,operations,Aids to navigation shorthand,,operations
,TACLET,supported specialized maritime security operations within multi-agency environments,Coast Guard,operations,Tactical law enforcement shorthand,,operations
,boat crew,executed small-team maritime operations ensuring mission success and personnel safety,Coast Guard,operations,Common CG term,,operations
,boarding team,conducted compliance inspections and security operations to enforce maritime regulations,Coast Guard,compliance,Common CG term,,admin
,1SG,"served as senior enlisted leader responsible for personnel readiness, discipline, and performance standards across a company-sized organization",Army,leadership,First Sergeant shorthand,,leadership
,CSM,advised senior leadership while overseeing workforce standards and readiness across battalion-level operations,Army,leadership,Command Sergeant Major shorthand,,leadership
,XO,"served as deputy operations manager coordinating planning, resources, and personnel execution",Army,leadership,Executive officer shorthand,,leadership
,CDR,led organizational operations and personnel performance to achieve strategic objectives,Army,leadership,Commander shorthand,,leadership
,BN S3,coordinated operational planning and execution across multiple teams to meet mission timelines,Army,operations,Staff shorthand,,operations
,BDE S4,managed brigade-level logistics operations ensuring supply continuity and accountability,Army,logistics,Staff shorthand,,logistics
,J3,coordinated joint operational planning and execution across multi-service teams,All,operations,Joint staff shorthand,,operations
,J4,managed joint logistics planning and supply chain execution across multiple units,All,logistics,Joint staff shorthand,,logistics
,J2,integrated multi-source intelligence to support strategic decision-making,All,intelligence,Joint staff shorthand,,intelligence
,J6,oversaw enterprise communications and IT operations supporting mission continuity,All,cyber,Joint staff shorthand,,cyber
,G3,managed organizational operations planning and readiness tracking,Army,operations,Army staff shorthand,,operations
,G4,oversaw logistics strategy and resource distribution to sustain operations,Army,logistics,Army staff shorthand,,logistics
,maintained 100% accountability,"ensured complete asset accountability, preventing discrepancies and compliance violations",All,logistics,High-frequency eval bullet stem,,logistics
,led X personnel,"supervised a team of X personnel, driving performance and measurable operational outcomes",All,leadership,Template placeholder; replace X when known,,leadership
,trained X personnel,"delivered structured training to X team members, improving readiness and performance standards",All,training,Template placeholder; replace X when known,,leadership
,reduced downtime,implemented corrective actions that decreased equipment downtime and improved operational availability,All,maintenance,Outcome phrasing,,maintenance
,improved readiness,improved operational readiness through targeted training and maintenance initiatives,All,operations,Outcome phrasing,,operations
,conducted inspections,performed compliance audits identifying gaps and implementing corrective action plans,All,compliance,Inspection mapping,,admin
