acronym,full_term,civilian_explanation,branch,category
usmc,personnel,personnel,general,acronym
USMC,United States Marine Corps,United States Marine Corps,usmc,acronym
USO,United Service Organizations,United Service Organizations,general,acronym
USR,unit status report,unit status report,army,acronym
USSF,United States Space Force,United States Space Force,ussf,acronym
USTRANSCOM,U.S. Transportation Command,Joint military transportation headquarters,general,logistics
UTC,unit type code,unit type code,usaf,acronym
UTM,unit training manager,unit training manager,usaf,training
UXO,unexploded ordnance,unexploded ordnance,general,acronym
VA,Veterans Affairs,Veterans Affairs,general,acronym
VAW,Carrier Airborne Early Warning Squadron,Navy E-2 Hawkeye squadron,navy,aviation
VDP,Vulnerability Disclosure Program,Bug bounty and reporting program,general,cyber
VERTREP,Vertical Replenishment,Helicopter supply transfer,navy,operations
VFA,Strike Fighter Squadron,Navy F/A-18 squadron,navy,aviation
VMFA,Marine Fighter Attack Squadron,Marine Fighter Attack Squadron,usmc,acronym
VMM,Marine Medium Tiltrotor Squadron,Marine Medium Tiltrotor Squadron,usmc,acronym
vMPF,virtual personnel center,virtual personnel center,general,acronym
vMPF,Virtual Military Personnel Flight,Air Force online HR portal,usaf,admin
VP,Patrol Squadron,Navy maritime patrol aircraft squadron,navy,aviation
VQ,Fleet Air Reconnaissance Squadron,Navy signals collection squadron,navy,aviation
WAPS,weighted airman promotion system,weighted airman promotion system,usaf,system
WARNO,Warning Order,Advance notification of upcoming operations,general,communication
watch,shift duty,shift duty,general,acronym
WCS,Maintenance Team Lead,Maintenance Team Lead,navy,acronym
WEPS,weapons officer,weapons officer,navy,acronym
WGS,Wideband Global SATCOM,High-bandwidth military satellite network,general,space
WHEC,high endurance cutter,high endurance cutter,uscg,acronym
WIA,wounded in action,wounded in action,general,acronym
WLB,buoy tender,buoy tender,uscg,acronym
WLC,Warrior Leader Course,junior leadership development course,army,training
WMEC,medium endurance cutter,medium endurance cutter,uscg,acronym
WOAC,Warrant Officer Advanced Course,Senior warrant officer training,army,training
WOBC,Warrant Officer Basic Course,Initial warrant officer training,army,training
WPB,patrol boat,patrol boat,uscg,acronym
XO,Executive Officer,"Deputy operations manager coordinating planning, resources, and execution.",army,leadership
XO,deputy director,deputy director,navy,rank
YN,yeoman,yeoman,navy,rating
