id,industry,role_type,keywords,weight,created_at
,Logistics/Supply Chain,Procurement Specialist,"[""Cost Reduction"",""TCO Analysis"",""Supplier Auditing"",""Quality Requirements""]",medium,
,Defense/Aerospace,Intelligence Officer,"[""Targeting"",""SIGINT"",""GEOINT"",""HUMINT"",""Threat Assessment"",""Battle Damage Assessment""]",high,
,Finance/Banking,Bank Manager,"[""Staff Management"",""Training"",""Performance Reviews"",""Regulatory Compliance"",""Audit Preparation""]",high,
,Environmental,Water Treatment Operator,"[""Water Treatment"",""Wastewater"",""Disinfection"",""Filtration"",""Chemical Feed"",""Lab Testing"",""SCADA"",""Compliance"",""Sampling"",""Reporting"",""Safety"",""Pumps"",""Valves"",""Maintenance"",""Permits""]",critical,
,Education,Curriculum Developer,"[""Curriculum Design"",""Instructional Design"",""Learning Objectives"",""Backward Design"",""Standards Alignment""]",critical,
,Healthcare,Medical Records,"[""Training"",""Policy Development"",""Committee Support"",""Regulatory Updates""]",low,
,Government,Cybersecurity Specialist GS,"[""RMF"",""NIST 800-53"",""FISMA"",""FedRAMP"",""STIG"",""eMASS"",""ATO"",""POA&M"",""Security Controls"",""Continuous Monitoring"",""DISA"",""Audit"",""Vulnerability Management"",""Incident Response"",""Compliance""]",important,
,Healthcare,Clinical Research,"[""Grant Writing"",""Budget Management"",""Vendor Oversight"",""Site Monitoring""]",low,
,Finance,Compliance Officer,"[""Regulatory Compliance"",""AML"",""KYC"",""BSA"",""FINRA"",""SEC"",""SOX"",""Risk Assessment"",""Audit"",""Policy"",""Training"",""Monitoring"",""Reporting"",""Internal Controls"",""Investigations""]",important,
,Retail/Hospitality,Customer Service Manager,"[""Zendesk"",""Salesforce Service Cloud"",""Genesys"",""Workforce Management"",""Training""]",high,
,Telecommunications,Field Technician,"[""Safety"",""OSHA"",""Fall Protection"",""CDL"",""Customer Service""]",medium,
,Finance/Banking,Treasury,"[""Treasury Management Systems"",""Kyriba"",""SAP Treasury"",""Wire Transfers"",""Cash Forecasting""]",high,
,Manufacturing,Process Engineer,"[""Minitab"",""Python"",""Data Analysis"",""Automation"",""Robotics"",""PLC Programming""]",medium,
,Healthcare,Occupational Therapist,"[""Cognitive Rehabilitation"",""Sensory Integration"",""Splinting"",""Work Hardening"",""Ergonomic Assessment""]",high,
,Manufacturing,Safety Manager,"[""Auditing"",""Regulatory Compliance"",""Emergency Response"",""Fire Prevention"",""Hazcom""]",medium,
,Manufacturing,Industrial Engineer,"[""AutoCAD"",""Minitab"",""Excel"",""Process Mapping"",""Capacity Analysis"",""Line Balancing""]",high,
,Finance/Banking,Wealth Manager,"[""Wealth Management"",""Portfolio Management"",""Asset Allocation"",""High Net Worth"",""Financial Planning"",""CFA""]",critical,
,Technology,Cloud Architect,"[""AWS"",""Azure"",""GCP"",""Terraform"",""CloudFormation"",""Multi-cloud"",""Serverless"",""Lambda"",""S3"",""VPC"",""IAM"",""Cost Optimization""]",high,
,Technology,AI Engineer,"[""Machine Learning"",""Deep Learning"",""NLP"",""Computer Vision"",""Python"",""TensorFlow"",""PyTorch"",""LLM"",""RAG"",""Fine-Tuning"",""MLOps"",""Data Pipeline"",""GPU"",""Model Evaluation"",""Deployment""]",important,
,Healthcare,Healthcare Administrator,"[""Community Relations"",""Board Reporting"",""Grant Management"",""Fundraising""]",low,
,Technology,Full Stack Developer,"[""Docker"",""CI/CD"",""Git"",""AWS"",""Heroku"",""Vercel"",""Serverless""]",medium,
,Aviation,Flight Operations Manager,"[""Flight Operations"",""Scheduling"",""Dispatch"",""Safety Management System"",""FAA"",""Operations Specifications"",""Crew Scheduling"",""Aircraft Tracking"",""NOTAM"",""Weather"",""Fuel Planning"",""Regulatory Compliance"",""Emergency Response"",""CASS"",""Charter""]",critical,
,Retail/Hospitality,District Manager,"[""Cross-functional Partnership"",""Corporate Initiatives"",""Change Management""]",low,
,Defense/Aerospace,Program Manager,"[""Business Development"",""Proposal Management"",""ITAR"",""Export Control""]",low,
,Government/Federal,Procurement Specialist,"[""Federal Procurement"",""FAR"",""Simplified Acquisition"",""Purchase Card"",""Micro-Purchase"",""Market Research""]",critical,
,Manufacturing,Plant Manager,"[""Community Relations"",""Succession Planning"",""Organizational Development""]",low,
,Healthcare,Medical Technician,"[""Phlebotomy"",""Specimen Processing"",""Laboratory Equipment"",""Quality Control"",""CLIA"",""HIPAA"",""Infection Control""]",critical,
,Education,Student Success Coach,"[""Academic Coaching"",""Retention"",""Student Engagement"",""Goal Setting"",""Motivational Interviewing"",""Case Management"",""Early Alert"",""Tutoring"",""Study Skills"",""Time Management"",""Referrals"",""FERPA"",""Advising"",""Outcomes"",""Reporting""]",important,
,Education,School Administrator,"[""School Leadership"",""Budget Management"",""Staff Supervision"",""Curriculum Oversight"",""Student Achievement"",""Data-Driven Decision Making""]",critical,
,Construction,Superintendent,"[""Construction Superintendent"",""Project Scheduling"",""Crew Management"",""Quality Control"",""Safety Management"",""Budget Control""]",critical,
,Finance/Banking,Wealth Manager,"[""Alternative Investments"",""Tax Optimization"",""Estate Planning"",""Trust Services"",""Bloomberg""]",high,
,Finance/Banking,Compliance Officer,"[""Regulatory Compliance"",""AML"",""KYC"",""BSA"",""SOX"",""Dodd-Frank"",""FINRA"",""SEC"",""OFAC""]",critical,
,defense,cybersecurity,"[""Cybersecurity"",""NIST"",""RMF"",""FISMA"",""SIEM"",""Splunk"",""Vulnerability Assessment"",""Penetration Testing"",""Incident Response"",""CISSP"",""Security+"",""CCNA"",""STIGs"",""ATO"",""eMASS"",""Security Clearance""]",critical,
,Human Resources,HRIS Analyst,"[""HRIS"",""Workday"",""SAP SuccessFactors"",""ADP"",""UKG"",""Reporting"",""Data Analysis"",""System Configuration"",""Testing"",""Integrations"",""Workflows"",""Security"",""Compliance"",""Training"",""Documentation""]",critical,
,Logistics/Supply Chain,Warehouse Manager,"[""Budget Management"",""Training"",""Performance Reviews"",""Continuous Improvement""]",low,
,Defense/Aerospace,Satellite Operations,"[""Satellite Operations"",""TT&C"",""Orbit Determination"",""Space Situational Awareness"",""Ground Segment""]",critical,
,Finance,Treasury Analyst,"[""Cash Management"",""Liquidity"",""Forecasting"",""Banking Relations"",""Foreign Exchange"",""Debt Management"",""Investment"",""Working Capital"",""Payment Processing"",""Treasury Management Systems"",""Wire Transfers"",""Reconciliation"",""Interest Rate Risk"",""Credit Facilities"",""Financial Analysis""]",important,
,Healthcare,Emergency Medical Technician,"[""Emergency Response"",""Patient Assessment"",""CPR"",""AED"",""Trauma"",""Airway Management"",""Vital Signs"",""Transport"",""Documentation"",""Communication"",""Triage"",""Equipment"",""Protocols"",""HIPAA"",""Teamwork""]",critical,
,Healthcare,Medical Technician,"[""Hematology"",""Chemistry"",""Urinalysis"",""Microbiology"",""Blood Banking"",""Point-of-Care Testing""]",high,
,Technology,Cybersecurity Analyst,"[""Security Awareness Training"",""Compliance Reporting"",""Audit Support"",""Vendor Risk Management""]",low,
,Education,Academic Advisor,"[""Career Counseling"",""Crisis Intervention"",""Referral Services"",""Multicultural Competency""]",medium,
,Technology,UX Designer,"[""User Research"",""Wireframing"",""Prototyping"",""Figma"",""Usability Testing"",""Design Thinking"",""User Flows"",""Information Architecture"",""Interaction Design"",""Accessibility"",""A/B Testing"",""Persona"",""Journey Map"",""Design System"",""Heuristic Evaluation""]",important,
,Manufacturing,Production Manager,"[""Lean Manufacturing"",""Six Sigma"",""Production Planning"",""Scheduling"",""Inventory Management"",""KPIs"",""OEE"",""Throughput""]",critical,
,Manufacturing,Industrial Engineer,"[""Cost Analysis"",""Productivity Improvement"",""Automation"",""Material Handling""]",medium,
,Retail/Hospitality,Hotel Manager,"[""Hotel Operations"",""Revenue Management"",""Guest Satisfaction"",""Front Office"",""Housekeeping"",""F&B""]",critical,
,Healthcare,Medical Technician,"[""Training"",""SOPs"",""Inventory Management"",""Safety Protocols""]",low,
,Logistics/Supply Chain,Warehouse Manager,"[""Warehouse Operations"",""WMS"",""Inventory Control"",""Receiving"",""Shipping"",""Pick/Pack"",""Cycle Counting""]",critical,
,Education,Curriculum Developer,"[""LMS"",""SCORM"",""Multimedia Content"",""Accessibility"",""Universal Design for Learning""]",medium,
,Consulting,Operations Consultant,"[""Change Management"",""Training"",""Sustainability"",""Digital Operations""]",low,
,Defense/Aerospace,Avionics Engineer,"[""Avionics"",""DO-178C"",""DO-254"",""MIL-STD-1553"",""ARINC 429"",""Flight Software""]",critical,
,Marketing/Communications,Brand Manager,"[""Trade Marketing"",""Shopper Marketing"",""Innovation Pipeline"",""Consumer Testing""]",medium,
,Technology,QA Engineer,"[""Test Automation"",""Selenium"",""Cypress"",""API Testing"",""Performance Testing"",""CI/CD"",""JIRA"",""Test Planning"",""Regression Testing"",""Agile"",""Python"",""JavaScript"",""SQL"",""Bug Tracking"",""Quality Assurance""]",critical,
,Retail/Hospitality,District Manager,"[""New Store Openings"",""Remodels"",""Market Analysis"",""Competitive Intelligence""]",medium,
,Defense/Aerospace,Weapons Systems Specialist,"[""Training Development"",""Field Support"",""Depot Liaison"",""Modification Kits""]",low,
,Technology,Machine Learning Engineer,"[""Distributed Training"",""Model Optimization"",""A/B Testing"",""Experiment Tracking"",""Feature Store""]",medium,
,Government,Intelligence Analyst,"[""Intelligence Analysis"",""All-Source"",""SIGINT"",""HUMINT"",""OSINT"",""Threat Assessment"",""Briefing"",""Analytical Writing"",""Critical Thinking"",""Geospatial"",""Targeting"",""Collection Management"",""Pattern Analysis"",""Security Clearance"",""Counterintelligence""]",critical,
,Logistics/Supply Chain,Inventory Control Specialist,"[""SOPs"",""Training"",""Process Improvement"",""Reporting""]",low,
,Healthcare,Registered Nurse,"[""BLS"",""ACLS"",""Patient Care"",""Triage"",""Medication Administration"",""IV Therapy"",""Electronic Health Records"",""HIPAA"",""Care Plans"",""Patient Assessment""]",critical,
,Cybersecurity,Threat Intelligence Analyst,"[""Threat Intelligence"",""MITRE ATT&CK"",""IOC"",""TTP"",""OSINT"",""Dark Web"",""Threat Hunting"",""Reporting"",""Malware"",""APT"",""Geopolitical"",""Vulnerability"",""CTI Platform"",""Stakeholder Briefing"",""Attribution""]",critical,
,Energy/Utilities,Power Plant Operator,"[""Training"",""SOPs"",""Shift Supervision"",""Equipment Inspection""]",low,
,Energy/Utilities,Electrical Engineer,"[""Power Systems"",""Circuit Design"",""Protection and Control"",""Substation Design"",""Transmission"",""Distribution""]",critical,
,Hospitality,Banquet Manager,"[""Banquet Operations"",""Event Setup"",""BEO"",""Floor Plan"",""Staffing"",""Food and Beverage"",""Client Relations"",""Budget"",""AV"",""Decor"",""Timeline"",""Vendor Coordination"",""Quality"",""Safety"",""Revenue""]",critical,
,Technology,Data Scientist,"[""Python"",""R"",""Machine Learning"",""TensorFlow"",""SQL"",""Statistics"",""Deep Learning"",""NLP"",""Data Mining"",""Pandas"",""Scikit-learn""]",critical,
,Finance/Banking,Compliance Officer,"[""Compliance Management Systems"",""Regulatory Filings"",""Consent Orders"",""Remediation""]",medium,
,Manufacturing,Production Manager,"[""ERP"",""SAP"",""Oracle"",""MRP"",""Capacity Planning"",""Workforce Management"",""Shift Management""]",high,
,Energy/Utilities,Power Plant Operator,"[""SCADA"",""DCS"",""PLC"",""Electrical Distribution"",""Heat Rate"",""Emissions Monitoring""]",high,
,Cybersecurity,Penetration Tester,"[""Kali Linux"",""Burp Suite"",""Metasploit"",""OWASP"",""Web Application Testing"",""Network Penetration Testing"",""Social Engineering"",""Report Writing"",""Vulnerability Assessment"",""Python"",""Nmap"",""Exploitation"",""Remediation"",""Risk Assessment"",""Compliance""]",critical,
,Real Estate,Facilities Manager,"[""Facilities Management"",""Space Planning"",""HVAC"",""Building Automation"",""Energy Management"",""Vendor Management"",""Budget"",""Capital Projects"",""OSHA"",""Fire Safety"",""ADA"",""Maintenance"",""Work Orders"",""CMMS"",""Sustainability""]",critical,
,Healthcare,Physician Assistant,"[""Patient Education"",""Chronic Disease Management"",""Preventive Care"",""Follow-Up Care"",""Telemedicine""]",medium,
,Defense/Aerospace,Weapons Systems Specialist,"[""Technical Manuals"",""Safety Procedures"",""Maintenance"",""Calibration"",""Integration Testing""]",high,
,Manufacturing,Lean Manufacturing Specialist,"[""ROI Analysis"",""Project Management"",""Cross-functional Teams"",""Benchmarking""]",low,
,Government/Federal,Intelligence Analyst,"[""Foreign Language"",""Cultural Awareness"",""Writing"",""Critical Thinking"",""Analytic Tradecraft""]",low,
,Manufacturing,Industrial Engineer,"[""Time Study"",""Work Measurement"",""Layout Design"",""Material Flow"",""Simulation"",""Ergonomics"",""Capacity Planning"",""Line Balancing"",""Waste Reduction"",""Standard Work"",""Value Engineering"",""Cost Analysis"",""Lean"",""Kaizen"",""5S""]",critical,
,Defense/Aerospace,Weapons Systems Specialist,"[""Weapons Systems"",""Armament"",""Fire Control"",""Guided Munitions"",""Ballistics"",""Ordnance""]",critical,
,Government/Federal,Policy Analyst,"[""Public Speaking"",""Facilitation"",""Consensus Building"",""Program Evaluation""]",low,
,Logistics/Supply Chain,Warehouse Manager,"[""RF Scanners"",""Barcode"",""Forklift Operations"",""OSHA"",""Safety"",""Labor Management""]",high,
,Finance/Banking,Risk Analyst,"[""Regulatory Reporting"",""CCAR"",""DFAST"",""Model Validation"",""Risk Appetite""]",medium,
,Consulting,Management Consultant,"[""Client Engagement"",""Workshop Facilitation"",""Executive Presentations"",""Hypothesis-Driven"",""MECE""]",medium,
,Education,Training Specialist,"[""Training Design"",""Facilitation"",""Needs Assessment"",""Adult Learning Theory"",""Kirkpatrick Model"",""Blended Learning""]",critical,
,Law Enforcement,Crime Analyst,"[""Crime Analysis"",""GIS"",""CompStat"",""Data Analysis"",""Statistics"",""Mapping"",""Pattern Analysis"",""Report Writing"",""Intel"",""Bulletins"",""Forecasting"",""Database"",""NIBRS"",""UCR"",""Presentations""]",critical,
,Defense/Aerospace,Test Engineer,"[""LabVIEW"",""MATLAB"",""Python"",""Test Automation"",""Data Acquisition"",""Instrumentation""]",high,
,Government/Federal,Project Manager (Federal),"[""Agile"",""JIRA"",""MS Project"",""Budget Management"",""Contract Oversight"",""IPT""]",high,
,Education,Academic Advisor,"[""Student Information Systems"",""Banner"",""PeopleSoft"",""DegreeWorks"",""FERPA""]",high,
,Education,Teacher,"[""IEP"",""State Standards"",""Common Core"",""Formative Assessment"",""Summative Assessment"",""Progress Monitoring""]",high,
,Retail/Hospitality,Merchandiser,"[""Visual Merchandising"",""Planograms"",""Product Placement"",""Inventory Management"",""Sales Analysis""]",critical,
,Marketing/Communications,SEO Specialist,"[""Reporting"",""Competitor Analysis"",""Local SEO"",""International SEO""]",low,
,Nonprofit,Program Director,"[""Program Management"",""Grant Writing"",""Fundraising"",""Community Outreach"",""Volunteer Management"",""Budget"",""Impact Measurement"",""Stakeholder Engagement"",""Board Relations"",""Strategic Planning"",""Advocacy"",""Partnership Development"",""Reporting"",""Compliance"",""Donor Relations""]",critical,
,Marketing/Communications,PR Specialist,"[""Public Relations"",""Media Relations"",""Press Releases"",""Crisis Communications"",""Media Monitoring"",""Spokesperson""]",critical,
,Technology,Database Administrator,"[""SQL"",""PostgreSQL"",""MySQL"",""Oracle"",""MongoDB"",""Database Optimization"",""Backup and Recovery"",""Replication"",""Performance Tuning""]",high,
,Healthcare,Physical Therapist,"[""Orthopedic Rehabilitation"",""Neurological Rehabilitation"",""Sports Medicine"",""Post-Surgical"",""Aquatic Therapy""]",high,
,Finance/Banking,Bank Manager,"[""Branch Operations"",""Sales Management"",""Customer Service"",""Loan Origination"",""Deposit Growth"",""Revenue Targets""]",critical,
,Defense/Aerospace,Intelligence Officer,"[""Intelligence Operations"",""All-Source Analysis"",""Collection Management"",""ISR"",""TS/SCI"",""SAP""]",critical,
,Technology,Machine Learning Engineer,"[""TensorFlow"",""PyTorch"",""Scikit-learn"",""MLOps"",""Feature Engineering"",""Model Deployment"",""Computer Vision"",""NLP""]",critical,
,Retail/Hospitality,Hotel Manager,"[""Community Relations"",""Sustainability"",""Renovation Projects"",""Owner Relations""]",low,
,Technology,Cybersecurity Analyst,"[""SIEM"",""Penetration Testing"",""Vulnerability Assessment"",""Incident Response"",""Firewall"",""IDS/IPS"",""SOC"",""CompTIA Security+"",""CISSP"",""Network Security""]",critical,
,Energy,Wind Technician,"[""Wind Turbine"",""Maintenance"",""Inspection"",""Troubleshooting"",""Electrical"",""Mechanical"",""Hydraulic"",""LOTO"",""Heights"",""Safety"",""Gearbox"",""Generator"",""Blades"",""SCADA"",""Condition Monitoring""]",critical,
,Government/Federal,Intelligence Analyst,"[""Intelligence Community Directives"",""ODNI"",""Counterintelligence"",""Counterterrorism""]",medium,
,Government,Program Manager,"[""Program Management"",""Federal Acquisition"",""FAR"",""DFARS"",""PMP"",""Earned Value Management"",""Stakeholder Management"",""Risk Management"",""Budget Management"",""Contract Management"",""DoD"",""OMB"",""Compliance"",""Milestone Tracking"",""Schedule Management""]",critical,
,Defense/Aerospace,Logistics Analyst,"[""Provisioning"",""Technical Manuals"",""Training Development"",""LSAR"",""GEIA-STD-0007""]",high,
,Healthcare,Dental Hygienist,"[""Dental Prophylaxis"",""Periodontal Assessment"",""X-Rays"",""Patient Education"",""Infection Control"",""Scaling""]",critical,
,Consulting,HR Consultant,"[""HRIS"",""Workday"",""SAP SuccessFactors"",""ADP"",""Change Management""]",medium,
,Healthcare,Dental Hygienist,"[""Eaglesoft"",""Dentrix"",""Digital Radiography"",""Sealants"",""Fluoride Treatment""]",high,
,Technology,Blockchain Developer,"[""Blockchain"",""Solidity"",""Smart Contracts"",""Web3"",""Ethereum"",""DeFi"",""NFT"",""Cryptography"",""Distributed Systems"",""Node.js"",""React"",""Testing"",""Security Audit"",""Tokenomics"",""Documentation""]",important,
,Government,Grants Manager,"[""Grant Management"",""Federal Grants"",""OMB Circular"",""Compliance"",""Budget"",""Reporting"",""SAM"",""Grants.gov"",""Audit"",""Financial Management"",""Performance Metrics"",""Program Evaluation"",""Monitoring"",""Documentation"",""Regulations""]",critical,
,Defense/Aerospace,Mission Planning Specialist,"[""Briefing"",""Debriefing"",""After-Action Review"",""Lessons Learned"",""Risk Mitigation""]",medium,
,Logistics/Supply Chain,Supply Chain Analyst,"[""SQL"",""Python"",""Tableau"",""Power BI"",""SAP"",""Statistical Analysis"",""Modeling""]",high,
,Technology,Software Engineer,"[""Code Review"",""Unit Testing"",""Integration Testing"",""Debugging"",""Performance Optimization"",""Scalability""]",medium,
,Logistics,Demand Planner,"[""Demand Planning"",""Forecasting"",""S&OP"",""Statistical Models"",""SAP APO"",""Consensus Planning"",""Inventory Optimization"",""Safety Stock"",""SKU Rationalization"",""Promotion Planning"",""Product Lifecycle"",""Collaboration"",""Accuracy Metrics"",""Bias Reduction"",""Exception Management""]",important,
,Cybersecurity,Digital Forensics Analyst,"[""Digital Forensics"",""Incident Response"",""EnCase"",""FTK"",""Disk Imaging"",""Memory Analysis"",""Log Analysis"",""Chain of Custody"",""Report Writing"",""Malware Analysis"",""Network Forensics"",""Mobile Forensics"",""Evidence Collection"",""Timeline"",""Court Testimony""]",critical,
,Technology,Mobile Developer,"[""Accessibility"",""Localization"",""App Store Optimization"",""Beta Testing"",""TestFlight""]",low,
,Technology,Systems Administrator,"[""Ansible"",""Puppet"",""Chef"",""Nagios"",""Zabbix"",""Backup Solutions"",""Disaster Recovery""]",high,
,Technology,Backend Developer,"[""Node.js"",""Python"",""Java"",""Go"",""REST API"",""GraphQL"",""PostgreSQL"",""MongoDB"",""Redis"",""Microservices"",""Docker"",""AWS"",""Authentication"",""Message Queue"",""System Design""]",critical,
,Government/Federal,Intelligence Analyst,"[""Briefing"",""Threat Assessment"",""Target Analysis"",""Geospatial Analysis"",""Link Analysis"",""Palantir""]",high,
,Manufacturing,Maintenance Technician,"[""OSHA"",""Lockout/Tagout"",""Safety"",""Inventory Management"",""Parts Ordering""]",low,
,Technology,Machine Learning Engineer,"[""Research Papers"",""Conference Presentations"",""Open Source Contributions"",""Technical Writing""]",low,
,Defense/Aerospace,Mission Planning Specialist,"[""Mission Planning"",""Operations Planning"",""Route Planning"",""Threat Analysis"",""Intelligence Integration""]",critical,
,Telecommunications,NOC Analyst,"[""SolarWinds"",""Nagios"",""PRTG"",""Grafana"",""Splunk"",""ServiceNow"",""ITIL""]",high,
,Construction,Estimator,"[""Presentation Skills"",""Client Meetings"",""Market Analysis"",""Historical Data Analysis""]",low,
,Energy/Utilities,Safety Manager (Energy),"[""NERC CIP"",""PSM"",""Risk Assessment"",""Job Safety Analysis"",""Emergency Response"",""HAZWOPER""]",high,
,Healthcare,Telehealth Coordinator,"[""Telehealth"",""Virtual Care"",""Scheduling"",""Patient Portal"",""Epic"",""Technical Support"",""HIPAA"",""Patient Education"",""Troubleshooting"",""Video Conferencing"",""Documentation"",""Workflow"",""Compliance"",""Privacy"",""Customer Service""]",important,
,Technology,Mobile Developer,"[""Push Notifications"",""In-App Purchases"",""Analytics"",""Crash Reporting"",""Performance Optimization""]",medium,
,Human Resources,Benefits Administrator,"[""Benefits Administration"",""Open Enrollment"",""COBRA"",""FMLA"",""ADA"",""Workers Comp"",""401k"",""Health Insurance"",""Dental"",""Vision"",""HSA"",""FSA"",""Leave Management"",""Vendor Management"",""Compliance""]",critical,
,Government/Federal,Program Analyst,"[""Interagency Coordination"",""Stakeholder Engagement"",""White Papers"",""Policy Drafting""]",low,
,Manufacturing,Process Engineer,"[""Capital Justification"",""Vendor Evaluation"",""Technology Transfer"",""Scale-Up""]",low,
,Marketing/Communications,Digital Marketing Manager,"[""Landing Pages"",""UX Optimization"",""Attribution Modeling"",""Customer Journey Mapping""]",medium,
,Technology,QA Engineer,"[""Selenium"",""Jest"",""Cypress"",""Test Automation"",""Manual Testing"",""API Testing"",""Performance Testing"",""Regression Testing"",""Bug Tracking""]",medium,
,Healthcare,Healthcare Administrator,"[""Healthcare Operations"",""Budget Management"",""Regulatory Compliance"",""Joint Commission"",""CMS"",""HIPAA"",""Quality Improvement""]",critical,
,Energy/Utilities,Renewable Energy Specialist,"[""PVSyst"",""Homer"",""SAM"",""Interconnection"",""Net Metering"",""Incentive Programs""]",high,
,Non-Profit,Fundraiser,"[""Marketing"",""Social Media"",""Crowdfunding"",""Corporate Partnerships""]",low,
,Retail/Hospitality,District Manager,"[""Performance Management"",""Talent Development"",""Store Visits"",""Action Plans"",""Benchmarking""]",high,
,Healthcare,Health IT,"[""Change Management"",""Training"",""Help Desk"",""Vendor Management"",""Project Management""]",low,
,Manufacturing,Plant Manager,"[""Operations Management"",""P&L Responsibility"",""Lean Manufacturing"",""Production Planning"",""Quality Management""]",critical,
,Real Estate,Lease Administrator,"[""Lease Administration"",""Rent Roll"",""CAM Reconciliation"",""Yardi"",""MRI"",""Lease Abstraction"",""Tenant Notices"",""Renewal"",""Termination"",""Insurance Certificates"",""Estoppels"",""Operating Expenses"",""Budget"",""Compliance"",""Reporting""]",critical,
,Defense/Aerospace,Program Manager,"[""IPT Leadership"",""Customer Relations"",""Milestone Reviews"",""Gate Reviews"",""LRIP""]",medium,
,Technology,Cloud Architect,"[""AWS"",""Azure"",""GCP"",""Multi-cloud"",""Cloud Migration"",""Serverless"",""Microservices"",""Containerization"",""IAM"",""VPC"",""Load Balancing"",""Auto Scaling"",""Cost Optimization"",""Well-Architected Framework"",""CloudFormation""]",critical,
,Retail/Hospitality,Hotel Manager,"[""Sales"",""Events"",""Banquets"",""Catering"",""Brand Standards"",""Quality Audits""]",medium,
,Consulting,Business Process Consultant,"[""Process Mapping"",""Lean"",""Six Sigma"",""Value Stream"",""BPMN"",""Requirements"",""Gap Analysis"",""Stakeholder"",""Workshop"",""As-Is"",""To-Be"",""Change Management"",""Documentation"",""ROI"",""Implementation""]",critical,
,Healthcare,Physical Therapist,"[""EMR Documentation"",""Insurance Authorization"",""Outcome Measures"",""Evidence-Based Practice""]",medium,
,Healthcare,Medical Records,"[""Epic"",""Cerner"",""Meditech"",""Document Imaging"",""Chart Deficiency"",""Audit""]",high,
,Healthcare,Registered Nurse,"[""Mentoring"",""Charge Nurse"",""Committee Participation"",""Continuing Education"",""Evidence-Based Practice""]",low,
,Finance,Accountant,"[""GAAP"",""Financial Reporting"",""Journal Entries"",""Reconciliation"",""Accounts Payable"",""Accounts Receivable"",""Month-End Close"",""Audit"",""Tax"",""QuickBooks"",""SAP"",""Excel"",""General Ledger"",""Fixed Assets"",""Accruals""]",critical,
,Construction,Electrician,"[""Electrical Installation"",""NEC"",""Conduit Bending"",""Wire Pulling"",""Panel Installation"",""Motor Controls""]",critical,
,Transportation,Logistics Coordinator,"[""Logistics"",""Freight"",""Shipping"",""Receiving"",""Customs"",""Import/Export"",""BOL"",""Tracking"",""TMS"",""Carrier Relations"",""Rate Negotiation"",""Cross-Docking"",""Last Mile"",""3PL"",""Documentation""]",critical,
,Government/Federal,Budget Analyst,"[""Federal Budget Process"",""Appropriations"",""Budget Formulation"",""Budget Execution"",""Financial Management""]",critical,
,Energy,Energy Auditor,"[""Energy Audit"",""ASHRAE"",""Building Envelope"",""HVAC"",""Lighting"",""Utility Analysis"",""Benchmarking"",""Energy Star"",""Recommendations"",""ROI"",""Payback"",""Monitoring"",""Reporting"",""Sustainability"",""BMS""]",important,
,Construction,Safety Manager (Construction),"[""Regulatory Compliance"",""Environmental"",""Silica"",""Confined Space"",""Excavation Safety""]",medium,
,Nonprofit,Volunteer Coordinator,"[""Volunteer Management"",""Recruitment"",""Training"",""Scheduling"",""Retention"",""Recognition"",""Community Outreach"",""Database"",""Background Checks"",""Onboarding"",""Event Support"",""Communication"",""Impact Measurement"",""Partnerships"",""Engagement""]",important,
,Government/Federal,IT Specialist (GS),"[""Cybersecurity"",""Incident Response"",""Vulnerability Scanning"",""Patching"",""Configuration Management""]",medium,
,Government,Logistics Manager,"[""Government Logistics"",""GCSS-Army"",""DLA"",""DPAS"",""Property Accountability"",""Supply Chain"",""Distribution"",""Inventory"",""Asset Management"",""Shipping"",""Receiving"",""Hazmat"",""Transportation"",""Warehousing"",""RFID""]",critical,
,Telecommunications,Field Technician,"[""Installation"",""Maintenance"",""Troubleshooting"",""Fiber Optics"",""Copper"",""Splicing"",""OTDR""]",critical,
,Government,Human Resources Specialist,"[""Federal HR"",""Classification"",""Recruitment"",""Merit Staffing"",""USAJobs"",""SF-50"",""SF-52"",""Position Description"",""GS"",""Performance Management"",""Employee Relations"",""EEO"",""Union"",""Benefits"",""Retirement""]",critical,
,Construction,Electrician,"[""OSHA 10"",""Lockout/Tagout"",""Arc Flash"",""Grounding"",""Testing""]",medium,
,Defense/Aerospace,Mission Planning Specialist,"[""PFPS"",""FalconView"",""JMPS"",""GIS"",""Digital Mapping"",""Imagery Analysis""]",high,
,Logistics/Supply Chain,Fleet Manager,"[""Driver Management"",""Safety Programs"",""Accident Investigation"",""Insurance""]",low,
,Government/Federal,Program Analyst,"[""Program Management"",""Budget Analysis"",""Policy Analysis"",""Performance Metrics"",""Federal Budgeting"",""OMB Circular""]",critical,
,Logistics/Supply Chain,Supply Chain Analyst,"[""Cost Analysis"",""Supplier Performance"",""Lead Time Analysis"",""Safety Stock Calculation""]",medium,
,Defense/Aerospace,Program Manager,"[""Program Management"",""Earned Value Management"",""IMS"",""Risk Management"",""DoD Acquisition"",""DODI 5000""]",critical,
,Energy/Utilities,Nuclear Engineer,"[""ALARA"",""Dosimetry"",""Decommissioning"",""Fuel Handling"",""Reactor Physics"",""Thermal Hydraulics""]",high,
,Technology,Frontend Developer,"[""React"",""TypeScript"",""JavaScript"",""HTML5"",""CSS3"",""Next.js"",""Webpack"",""Tailwind"",""Responsive Design"",""Accessibility"",""Testing"",""Git"",""REST API"",""GraphQL"",""Performance Optimization""]",critical,
